CODAmotion Analysis Text
Codamotion Analysis Text Save of: Acquisition.1
Time	Markers																															
Time	Marker 1.X	Marker 1.Y	Marker 1.Z	1.V	Marker 2.X	Marker 2.Y	Marker 2.Z	2.V	Marker 3.X	Marker 3.Y	Marker 3.Z	3.V	Marker 4.X	Marker 4.Y	Marker 4.Z	4.V	Marker 5.X	Marker 5.Y	Marker 5.Z	5.V	Marker 6.X	Marker 6.Y	Marker 6.Z	6.V	Marker 7.X	Marker 7.Y	Marker 7.Z	7.V	Marker 8.X	Marker 8.Y	Marker 8.Z	8.V
(s)	(mm)	(mm)	(mm)		(mm)	(mm)	(mm)		(mm)	(mm)	(mm)		(mm)	(mm)	(mm)		(mm)	(mm)	(mm)		(mm)	(mm)	(mm)		(mm)	(mm)	(mm)		(mm)	(mm)	(mm)	
0.00000	10.15	-363.91	8.86	1	0.08	0.08	-0.04	1	-747.08	0.10	-2.07	1	0.00	0.00	0.00	0	-808.63	-307.48	357.78	1	-807.89	-288.12	357.18	1	0.00	0.00	0.00	0	-881.15	-284.54	357.75	1
0.00500	12.65	-364.31	0.15	1	-0.01	0.08	-0.27	1	-747.23	0.14	-3.26	1	0.00	0.00	0.00	0	-808.72	-307.67	357.03	1	-807.90	-288.18	357.10	1	0.00	0.00	0.00	0	-881.14	-284.57	357.91	1
0.01000	12.71	-364.44	-0.21	1	0.27	0.04	-0.97	1	-747.20	0.10	-2.32	1	0.00	0.00	0.00	0	-808.63	-307.58	357.18	1	-807.81	-288.12	357.77	1	0.00	0.00	0.00	0	-881.25	-284.59	357.77	1
0.01500	12.61	-364.31	-0.08	1	0.15	0.12	-0.72	1	-747.24	0.27	-1.67	1	0.00	0.00	0.00	0	-808.64	-307.58	357.51	1	-807.84	-288.06	357.31	1	0.00	0.00	0.00	0	-881.12	-284.58	357.47	1
0.02000	12.73	-364.48	-0.42	1	0.05	0.02	-0.51	1	-747.15	0.12	-1.91	1	0.00	0.00	0.00	0	-808.64	-307.58	357.55	1	-807.82	-288.13	357.56	1	0.00	0.00	0.00	0	-881.12	-284.53	357.98	1
0.02500	12.76	-364.34	-0.41	1	0.11	0.12	-0.06	1	-746.99	0.08	-2.04	1	0.00	0.00	0.00	0	-808.68	-307.64	357.34	1	-807.84	-288.15	357.40	1	0.00	0.00	0.00	0	-881.16	-284.65	357.55	1
0.03000	12.55	-364.39	0.10	1	0.03	0.11	-0.35	1	-746.93	0.08	-1.81	1	0.00	0.00	0.00	0	-808.72	-307.66	357.31	1	-807.83	-288.16	357.02	1	0.00	0.00	0.00	0	-881.16	-284.48	358.03	1
0.03500	12.61	-364.44	0.05	1	0.21	0.03	-0.83	1	-747.12	-0.05	-1.90	1	0.00	0.00	0.00	0	-808.75	-307.48	358.15	1	-807.76	-288.16	357.26	1	0.00	0.00	0.00	0	-881.18	-284.59	358.03	1
0.04000	12.64	-364.31	0.34	1	0.27	0.06	-1.07	1	-747.09	0.09	-2.23	1	0.00	0.00	0.00	0	-808.71	-307.58	357.56	1	-807.84	-288.23	357.15	1	0.00	0.00	0.00	0	-881.17	-284.52	357.94	1
0.04500	12.65	-364.37	-0.17	1	0.11	0.07	-0.68	1	-747.18	0.20	-2.34	1	0.00	0.00	0.00	0	-808.66	-307.63	357.89	1	-807.82	-288.20	357.52	1	0.00	0.00	0.00	0	-881.06	-284.52	357.75	1
0.05000	12.52	-364.36	0.08	1	0.07	0.01	-0.07	1	-746.94	0.04	-2.90	1	0.00	0.00	0.00	0	-808.63	-307.60	357.85	1	-807.89	-288.20	357.35	1	0.00	0.00	0.00	0	-881.15	-284.58	357.89	1
0.05500	12.88	-364.61	-1.10	1	0.08	0.06	-0.33	1	-747.06	0.02	-2.07	1	0.00	0.00	0.00	0	-808.77	-307.59	357.71	1	-807.83	-288.14	357.46	1	0.00	0.00	0.00	0	-881.18	-284.54	358.26	1
0.06000	12.74	-364.51	-0.69	1	-0.03	0.10	-0.07	1	-747.11	-0.04	-2.27	1	0.00	0.00	0.00	0	-808.69	-307.60	357.44	1	-807.88	-288.17	357.84	1	0.00	0.00	0.00	0	-881.10	-284.61	357.58	1
0.06500	12.46	-364.39	0.08	1	0.25	0.03	-0.81	1	-747.19	0.13	-3.78	1	0.00	0.00	0.00	0	-808.70	-307.70	357.66	1	-807.84	-288.32	357.01	1	0.00	0.00	0.00	0	-881.06	-284.53	358.17	1
0.07000	12.50	-364.31	0.53	1	-0.02	0.16	0.31	1	-747.01	0.03	-2.14	1	0.00	0.00	0.00	0	-808.72	-307.56	357.61	1	-807.66	-288.25	357.48	1	0.00	0.00	0.00	0	-881.12	-284.51	357.89	1
0.07500	12.74	-364.43	-0.67	1	0.24	0.10	-0.75	1	-746.95	0.04	-3.00	1	0.00	0.00	0.00	0	-808.67	-307.65	357.94	1	-807.78	-288.26	357.27	1	0.00	0.00	0.00	0	-881.16	-284.72	357.52	1
0.08000	12.83	-364.51	-0.60	1	0.26	0.13	-1.19	1	-747.25	0.19	-1.19	1	0.00	0.00	0.00	0	-808.79	-307.72	357.80	1	-807.80	-288.30	356.74	1	0.00	0.00	0.00	0	-881.19	-284.61	357.82	1
0.08500	12.58	-364.31	-0.21	1	0.22	0.12	-0.78	1	-747.10	0.05	-2.39	1	0.00	0.00	0.00	0	-808.62	-307.61	357.70	1	-807.83	-288.22	357.65	1	0.00	0.00	0.00	0	-881.20	-284.55	358.36	1
0.09000	12.60	-364.40	-0.02	1	0.01	0.06	-0.07	1	-747.16	0.07	-1.90	1	0.00	0.00	0.00	0	-808.72	-307.73	357.49	1	-807.85	-288.30	357.37	1	0.00	0.00	0.00	0	-881.19	-284.68	357.89	1
0.09500	12.73	-364.33	-0.53	1	-0.09	0.01	0.27	1	-746.91	-0.03	-1.95	1	0.00	0.00	0.00	0	-808.64	-307.74	357.79	1	-807.75	-288.37	356.98	1	0.00	0.00	0.00	0	-881.21	-284.60	357.78	1
0.10000	12.73	-364.50	-0.56	1	-0.00	0.15	-0.14	1	-747.03	0.25	-1.84	1	0.00	0.00	0.00	0	-808.69	-307.65	357.84	1	-807.81	-288.36	356.98	1	0.00	0.00	0.00	0	-881.06	-284.55	358.26	1
0.10500	12.75	-364.49	-0.73	1	0.14	0.11	-0.52	1	-747.27	0.16	-3.24	1	0.00	0.00	0.00	0	-808.66	-307.75	357.40	1	-807.77	-288.29	357.35	1	0.00	0.00	0.00	0	-881.16	-284.64	357.78	1
0.11000	12.77	-364.35	-0.60	1	-0.00	0.13	-0.04	1	-747.15	0.16	-3.37	1	0.00	0.00	0.00	0	-808.57	-307.78	357.62	1	-807.84	-288.34	357.60	1	0.00	0.00	0.00	0	-881.09	-284.54	358.10	1
