CODAmotion Analysis Text
Codamotion Analysis Text Save of: Acquisition.1
Time	Markers																															
Time	Marker 1.X	Marker 1.Y	Marker 1.Z	1.V	Marker 2.X	Marker 2.Y	Marker 2.Z	2.V	Marker 3.X	Marker 3.Y	Marker 3.Z	3.V	Marker 4.X	Marker 4.Y	Marker 4.Z	4.V	Marker 5.X	Marker 5.Y	Marker 5.Z	5.V	Marker 6.X	Marker 6.Y	Marker 6.Z	6.V	Marker 7.X	Marker 7.Y	Marker 7.Z	7.V	Marker 8.X	Marker 8.Y	Marker 8.Z	8.V
(s)	(mm)	(mm)	(mm)		(mm)	(mm)	(mm)		(mm)	(mm)	(mm)		(mm)	(mm)	(mm)		(mm)	(mm)	(mm)		(mm)	(mm)	(mm)		(mm)	(mm)	(mm)		(mm)	(mm)	(mm)	
0.00000	8.39	-361.86	32.77	1	-0.16	-0.20	4.36	1	-753.18	0.03	-1.76	1	0.00	0.00	0.00	0	0.00	0.00	0.00	0	-804.01	-358.65	195.82	1	-875.89	-380.27	180.99	1	-877.47	-362.20	187.71	1
0.00500	18.56	-365.45	5.98	1	-0.55	0.06	5.14	1	-753.62	0.22	-0.04	1	0.00	0.00	0.00	0	0.00	0.00	0.00	0	-803.78	-358.50	196.29	1	-875.43	-380.55	177.62	1	-877.58	-362.51	187.05	1
0.01000	19.39	-365.47	4.45	1	-0.33	0.13	5.35	1	-753.24	-0.03	0.01	1	0.00	0.00	0.00	0	0.00	0.00	0.00	0	-803.71	-358.58	195.19	1	-875.27	-380.60	178.25	1	-877.41	-362.10	187.50	1
0.01500	19.11	-365.32	4.02	1	-0.24	0.13	4.46	1	-753.06	-0.14	-2.18	1	0.00	0.00	0.00	0	0.00	0.00	0.00	0	-803.58	-358.57	195.58	1	-875.15	-380.52	178.43	1	-877.31	-362.19	187.23	1
0.02000	19.52	-365.55	2.17	1	0.09	0.23	3.25	1	-752.37	0.20	-4.89	1	0.00	0.00	0.00	0	0.00	0.00	0.00	0	-803.61	-358.37	196.23	1	-874.90	-380.69	177.34	1	-876.71	-362.25	186.76	1
0.02500	18.74	-365.34	4.47	1	0.19	0.19	3.16	1	-753.07	0.20	0.65	1	0.00	0.00	0.00	0	0.00	0.00	0.00	0	-803.11	-358.49	195.32	1	-875.01	-380.63	178.51	1	-877.13	-362.14	188.58	1
0.03000	18.55	-365.29	4.76	1	-0.19	0.19	3.90	1	-753.16	0.52	0.08	1	0.00	0.00	0.00	0	0.00	0.00	0.00	0	-803.03	-358.61	195.05	1	-874.73	-380.48	179.11	1	-876.41	-362.40	186.08	1
0.03500	19.40	-365.52	2.36	1	-0.25	0.20	3.95	1	-752.64	0.29	-4.92	1	0.00	0.00	0.00	0	0.00	0.00	0.00	0	-802.79	-358.60	194.81	1	-875.04	-380.41	179.65	1	-876.42	-362.20	186.62	1
0.04000	18.51	-365.41	3.99	1	-0.19	0.16	3.26	1	-753.11	0.19	-0.57	1	0.00	0.00	0.00	0	0.00	0.00	0.00	0	-802.58	-358.48	195.15	1	-874.49	-380.49	179.39	1	-876.19	-361.99	188.02	1
0.04500	18.85	-365.40	2.62	1	0.09	0.12	1.81	1	-753.12	0.13	-0.55	1	0.00	0.00	0.00	0	0.00	0.00	0.00	0	-802.35	-358.42	194.95	1	-873.77	-380.61	177.89	1	-875.91	-362.31	186.82	1
0.05000	19.01	-365.45	2.47	1	0.40	0.07	0.65	1	-753.41	0.39	0.71	1	0.00	0.00	0.00	0	0.00	0.00	0.00	0	-802.27	-358.55	194.96	1	-874.14	-380.59	178.28	1	-875.81	-362.21	186.85	1
0.05500	19.15	-365.36	1.87	1	-0.26	0.19	2.72	1	-753.47	0.26	0.58	1	0.00	0.00	0.00	0	0.00	0.00	0.00	0	-802.20	-358.46	196.01	1	-873.66	-380.64	178.80	1	-875.67	-362.31	187.07	1
0.06000	18.77	-365.20	2.91	1	-0.35	0.23	3.04	1	-752.77	0.11	-3.33	1	0.00	0.00	0.00	0	0.00	0.00	0.00	0	-801.85	-358.78	193.98	1	-874.01	-380.27	180.31	1	-875.23	-362.28	186.57	1
0.06500	19.38	-365.32	1.75	1	-0.02	0.21	2.34	1	-753.51	0.24	-0.13	1	0.00	0.00	0.00	0	0.00	0.00	0.00	0	-801.75	-358.64	194.95	1	-873.43	-380.61	177.47	1	-875.35	-362.34	186.45	1
0.07000	19.48	-365.55	0.07	1	-0.18	0.35	2.63	1	-753.04	0.33	-2.28	1	0.00	0.00	0.00	0	0.00	0.00	0.00	0	-801.44	-358.99	194.36	1	-873.45	-380.53	178.90	1	-875.28	-362.52	187.29	1
0.07500	19.64	-365.45	0.53	1	0.28	0.27	0.96	1	-752.74	0.27	-2.95	1	0.00	0.00	0.00	0	0.00	0.00	0.00	0	-801.38	-358.71	194.13	1	-873.07	-380.63	178.40	1	-874.79	-362.73	184.62	1
0.08000	19.09	-365.26	1.67	1	-0.19	0.40	2.07	1	-752.73	0.18	-2.63	1	0.00	0.00	0.00	0	0.00	0.00	0.00	0	-801.49	-358.43	196.17	1	-873.50	-380.54	180.54	1	-874.51	-362.53	184.41	1
0.08500	19.32	-365.48	0.62	1	-0.02	0.18	1.27	1	-753.16	0.52	-0.24	1	0.00	0.00	0.00	0	0.00	0.00	0.00	0	-800.82	-359.01	193.08	1	-872.96	-380.52	179.20	1	-874.27	-362.75	184.57	1
0.09000	18.81	-365.29	2.08	1	-0.08	0.13	1.36	1	-752.82	0.36	-3.50	1	0.00	0.00	0.00	0	0.00	0.00	0.00	0	-800.84	-358.84	195.17	1	-872.53	-380.59	178.95	1	-874.42	-362.57	186.97	1
