CODAmotion Analysis Text
Codamotion Analysis Text Save of: Acquisition.1
Time	Markers																															
Time	Marker 1.X	Marker 1.Y	Marker 1.Z	1.V	Marker 2.X	Marker 2.Y	Marker 2.Z	2.V	Marker 3.X	Marker 3.Y	Marker 3.Z	3.V	Marker 4.X	Marker 4.Y	Marker 4.Z	4.V	Marker 5.X	Marker 5.Y	Marker 5.Z	5.V	Marker 6.X	Marker 6.Y	Marker 6.Z	6.V	Marker 7.X	Marker 7.Y	Marker 7.Z	7.V	Marker 8.X	Marker 8.Y	Marker 8.Z	8.V
(s)	(mm)	(mm)	(mm)		(mm)	(mm)	(mm)		(mm)	(mm)	(mm)		(mm)	(mm)	(mm)		(mm)	(mm)	(mm)		(mm)	(mm)	(mm)		(mm)	(mm)	(mm)		(mm)	(mm)	(mm)	
0.00000	9.90	-364.29	8.63	1	-0.22	0.07	0.36	1	-747.07	-0.01	-1.31	1	0.00	0.00	0.00	0	0.00	0.00	0.00	0	-835.77	-325.48	285.00	1	0.00	0.00	0.00	0	0.00	0.00	0.00	0
0.00500	12.24	-364.52	0.78	1	0.20	0.01	-0.75	1	-747.07	0.05	0.17	1	0.00	0.00	0.00	0	0.00	0.00	0.00	0	-835.68	-325.38	286.18	1	0.00	0.00	0.00	0	0.00	0.00	0.00	0
0.01000	12.38	-364.48	0.07	1	-0.00	0.02	0.48	1	-747.40	0.02	-4.22	1	0.00	0.00	0.00	0	0.00	0.00	0.00	0	-835.75	-325.50	286.07	1	0.00	0.00	0.00	0	0.00	0.00	0.00	0
0.01500	12.44	-364.61	0.25	1	-0.27	0.03	1.06	1	-747.23	-0.10	-1.74	1	0.00	0.00	0.00	0	0.00	0.00	0.00	0	-835.69	-325.59	286.81	1	0.00	0.00	0.00	0	0.00	0.00	0.00	0
0.02000	12.07	-364.31	2.08	1	0.25	0.08	-0.79	1	-746.89	-0.04	-2.58	1	0.00	0.00	0.00	0	0.00	0.00	0.00	0	-835.75	-325.69	286.20	1	0.00	0.00	0.00	0	0.00	0.00	0.00	0
0.02500	12.59	-364.63	-0.28	1	-0.10	0.07	0.57	1	-747.35	0.04	-0.81	1	0.00	0.00	0.00	0	0.00	0.00	0.00	0	-835.72	-325.77	286.02	1	0.00	0.00	0.00	0	0.00	0.00	0.00	0
0.03000	12.58	-364.55	0.11	1	-0.19	0.20	-0.45	1	-747.56	-0.04	-2.54	1	0.00	0.00	0.00	0	0.00	0.00	0.00	0	-835.76	-325.67	286.82	1	0.00	0.00	0.00	0	0.00	0.00	0.00	0
0.03500	12.87	-364.71	-1.53	1	-0.18	0.10	0.18	1	-747.31	0.01	-3.34	1	0.00	0.00	0.00	0	0.00	0.00	0.00	0	-835.89	-325.79	287.14	1	0.00	0.00	0.00	0	0.00	0.00	0.00	0
0.04000	12.81	-364.71	-0.76	1	0.37	-0.03	-1.10	1	-747.16	0.11	-0.29	1	0.00	0.00	0.00	0	0.00	0.00	0.00	0	-835.75	-325.68	288.25	1	0.00	0.00	0.00	0	0.00	0.00	0.00	0
0.04500	12.53	-364.62	-0.48	1	-0.16	0.07	0.59	1	-747.34	0.01	-2.98	1	0.00	0.00	0.00	0	0.00	0.00	0.00	0	-835.78	-325.82	287.99	1	0.00	0.00	0.00	0	0.00	0.00	0.00	0
0.05000	12.56	-364.63	0.13	1	-0.06	0.11	-0.38	1	-747.25	0.11	-1.67	1	0.00	0.00	0.00	0	0.00	0.00	0.00	0	-835.69	-325.87	287.63	1	0.00	0.00	0.00	0	0.00	0.00	0.00	0
0.05500	12.20	-364.57	0.39	1	-0.19	0.20	0.78	1	-747.58	-0.13	-2.14	1	0.00	0.00	0.00	0	0.00	0.00	0.00	0	-835.79	-325.94	287.24	1	0.00	0.00	0.00	0	0.00	0.00	0.00	0
0.06000	12.37	-364.54	0.50	1	-0.00	-0.02	0.05	1	-747.47	0.10	-1.82	1	0.00	0.00	0.00	0	0.00	0.00	0.00	0	-835.79	-326.03	286.04	1	0.00	0.00	0.00	0	0.00	0.00	0.00	0
0.06500	12.38	-364.61	0.59	1	0.14	0.03	-1.41	1	-747.21	-0.09	-2.33	1	0.00	0.00	0.00	0	0.00	0.00	0.00	0	-835.81	-325.80	288.41	1	0.00	0.00	0.00	0	0.00	0.00	0.00	0
0.07000	12.63	-364.45	-0.44	1	0.01	0.08	-0.22	1	-747.26	0.08	-1.59	1	0.00	0.00	0.00	0	0.00	0.00	0.00	0	-835.64	-325.89	286.96	1	0.00	0.00	0.00	0	0.00	0.00	0.00	0
0.07500	12.76	-364.72	-0.48	1	0.18	0.05	-1.25	1	-747.31	0.15	-0.82	1	0.00	0.00	0.00	0	0.00	0.00	0.00	0	-835.88	-325.72	287.62	1	0.00	0.00	0.00	0	0.00	0.00	0.00	0
0.08000	12.29	-364.46	0.87	1	-0.03	0.13	-0.17	1	-747.37	-0.14	-1.50	1	0.00	0.00	0.00	0	0.00	0.00	0.00	0	-835.55	-325.74	287.91	1	0.00	0.00	0.00	0	0.00	0.00	0.00	0
0.08500	12.42	-364.75	-0.25	1	-0.41	0.05	0.37	1	-747.11	-0.23	-1.95	1	0.00	0.00	0.00	0	0.00	0.00	0.00	0	-835.63	-325.58	289.35	1	0.00	0.00	0.00	0	0.00	0.00	0.00	0
0.09000	12.50	-364.46	0.35	1	0.00	-0.03	-0.33	1	-747.23	0.05	-2.17	1	0.00	0.00	0.00	0	0.00	0.00	0.00	0	-835.55	-325.79	288.56	1	0.00	0.00	0.00	0	0.00	0.00	0.00	0
0.09500	12.71	-364.56	-0.42	1	0.24	-0.01	-0.95	1	-747.22	-0.09	-2.71	1	0.00	0.00	0.00	0	0.00	0.00	0.00	0	-835.71	-325.74	287.99	1	0.00	0.00	0.00	0	0.00	0.00	0.00	0
0.10000	12.55	-364.62	-0.06	1	0.31	0.06	-2.14	1	-747.55	0.34	0.09	1	0.00	0.00	0.00	0	0.00	0.00	0.00	0	-835.76	-325.73	287.30	1	0.00	0.00	0.00	0	0.00	0.00	0.00	0
0.10500	12.63	-364.58	-0.13	1	-0.22	0.13	0.47	1	-747.30	-0.09	-3.00	1	0.00	0.00	0.00	0	0.00	0.00	0.00	0	-835.63	-325.60	288.54	1	0.00	0.00	0.00	0	0.00	0.00	0.00	0
0.11000	12.60	-364.66	-0.31	1	0.33	0.12	-1.33	1	-747.22	0.24	-2.43	1	0.00	0.00	0.00	0	0.00	0.00	0.00	0	-835.68	-325.41	288.47	1	0.00	0.00	0.00	0	0.00	0.00	0.00	0
0.11500	12.44	-364.58	0.12	1	-0.45	0.14	0.65	1	-747.07	0.01	-2.52	1	0.00	0.00	0.00	0	0.00	0.00	0.00	0	-835.70	-325.52	288.58	1	0.00	0.00	0.00	0	0.00	0.00	0.00	0
0.12000	12.29	-364.41	0.92	1	-0.23	0.09	0.89	1	-747.44	-0.04	-1.01	1	0.00	0.00	0.00	0	0.00	0.00	0.00	0	-835.64	-325.49	288.31	1	0.00	0.00	0.00	0	0.00	0.00	0.00	0
0.12500	12.45	-364.65	-0.33	1	0.10	0.13	0.20	1	-747.29	-0.34	-0.89	1	0.00	0.00	0.00	0	0.00	0.00	0.00	0	-835.67	-325.45	288.22	1	0.00	0.00	0.00	0	0.00	0.00	0.00	0
0.13000	12.35	-364.58	0.92	1	0.14	-0.00	-0.50	1	-747.06	0.01	-1.55	1	0.00	0.00	0.00	0	0.00	0.00	0.00	0	-835.70	-325.21	289.32	1	0.00	0.00	0.00	0	0.00	0.00	0.00	0
0.13500	12.48	-364.59	-0.16	1	-0.19	0.16	0.55	1	-747.28	-0.15	-2.36	1	0.00	0.00	0.00	0	0.00	0.00	0.00	0	-835.55	-325.29	287.95	1	0.00	0.00	0.00	0	0.00	0.00	0.00	0
0.14000	12.44	-364.55	0.54	1	0.32	0.00	-1.25	1	-747.52	0.18	-1.17	1	0.00	0.00	0.00	0	0.00	0.00	0.00	0	-835.64	-325.39	288.42	1	0.00	0.00	0.00	0	0.00	0.00	0.00	0
0.14500	12.74	-364.81	-0.75	1	-0.03	0.24	-0.27	1	-746.81	0.16	-2.37	1	0.00	0.00	0.00	0	0.00	0.00	0.00	0	-835.69	-325.35	287.43	1	0.00	0.00	0.00	0	0.00	0.00	0.00	0
0.15000	12.71	-364.67	-0.46	1	-0.02	0.11	-0.77	1	-747.14	-0.26	-1.99	1	0.00	0.00	0.00	0	0.00	0.00	0.00	0	-835.59	-325.09	287.88	1	0.00	0.00	0.00	0	0.00	0.00	0.00	0
0.15500	12.46	-364.49	0.24	1	-0.07	0.06	-0.48	1	-747.58	-0.01	-0.16	1	0.00	0.00	0.00	0	0.00	0.00	0.00	0	-835.49	-325.09	288.89	1	0.00	0.00	0.00	0	0.00	0.00	0.00	0
0.16000	12.59	-364.51	0.94	1	-0.38	0.05	0.26	1	-747.32	-0.30	-1.90	1	0.00	0.00	0.00	0	0.00	0.00	0.00	0	-835.45	-325.13	287.95	1	0.00	0.00	0.00	0	0.00	0.00	0.00	0
0.16500	12.55	-364.56	0.45	1	-0.23	0.03	1.25	1	-747.52	-0.23	-4.08	1	0.00	0.00	0.00	0	0.00	0.00	0.00	0	-835.64	-324.99	287.85	1	0.00	0.00	0.00	0	0.00	0.00	0.00	0
