CODAmotion Analysis Text
Codamotion Analysis Text Save of: Acquisition.1
Time	Markers																															
Time	Marker 1.X	Marker 1.Y	Marker 1.Z	1.V	Marker 2.X	Marker 2.Y	Marker 2.Z	2.V	Marker 3.X	Marker 3.Y	Marker 3.Z	3.V	Marker 4.X	Marker 4.Y	Marker 4.Z	4.V	Marker 5.X	Marker 5.Y	Marker 5.Z	5.V	Marker 6.X	Marker 6.Y	Marker 6.Z	6.V	Marker 7.X	Marker 7.Y	Marker 7.Z	7.V	Marker 8.X	Marker 8.Y	Marker 8.Z	8.V
(s)	(mm)	(mm)	(mm)		(mm)	(mm)	(mm)		(mm)	(mm)	(mm)		(mm)	(mm)	(mm)		(mm)	(mm)	(mm)		(mm)	(mm)	(mm)		(mm)	(mm)	(mm)		(mm)	(mm)	(mm)	
0.00000	7.83	-361.93	29.01	1	-0.66	-0.17	0.99	1	-753.06	0.50	-5.38	1	0.00	0.00	0.00	0	-808.04	-374.16	277.00	1	-808.61	-354.31	277.57	1	-880.13	-374.12	257.98	1	-880.39	-354.59	259.16	1
0.00500	18.43	-365.81	0.71	1	-0.21	-0.26	-0.72	1	-753.16	0.22	-4.41	1	0.00	0.00	0.00	0	-807.84	-374.15	276.88	1	-808.82	-354.42	278.40	1	-879.99	-374.30	257.55	1	-880.20	-354.56	259.80	1
0.01000	19.09	-365.87	-0.51	1	-0.84	-0.17	1.15	1	-753.73	0.39	-2.32	1	0.00	0.00	0.00	0	-808.07	-374.10	278.14	1	-808.87	-354.31	278.99	1	-880.07	-374.31	258.13	1	-880.27	-354.59	259.69	1
0.01500	18.15	-365.75	0.99	1	-0.28	-0.24	-0.47	1	-753.51	0.40	-3.27	1	0.00	0.00	0.00	0	-808.04	-374.34	277.02	1	-808.68	-354.41	278.45	1	-880.02	-374.21	258.11	1	-880.17	-354.83	258.31	1
0.02000	18.83	-365.90	-0.19	1	-0.00	-0.20	-0.41	1	-753.14	0.29	-2.78	1	0.00	0.00	0.00	0	-808.08	-374.28	277.35	1	-808.67	-354.44	278.54	1	-880.14	-374.30	257.50	1	-880.18	-354.86	258.34	1
0.02500	18.46	-365.73	0.72	1	-0.97	-0.06	1.09	1	-753.05	0.69	-5.34	1	0.00	0.00	0.00	0	-808.00	-374.28	277.80	1	-808.85	-354.31	279.24	1	-879.87	-374.41	256.31	1	-880.24	-354.59	259.38	1
0.03000	18.61	-365.81	0.78	1	-0.32	-0.17	-0.06	1	-753.23	0.58	-4.83	1	0.00	0.00	0.00	0	-807.80	-374.35	277.31	1	-808.74	-354.55	277.93	1	-879.93	-374.41	257.34	1	-880.33	-354.77	258.98	1
0.03500	18.62	-365.78	0.14	1	-0.72	-0.38	0.50	1	-753.46	0.25	-1.12	1	0.00	0.00	0.00	0	-807.66	-374.61	275.55	1	-808.65	-354.72	277.88	1	-879.90	-374.48	257.21	1	-880.07	-354.72	258.38	1
0.04000	18.49	-365.62	0.98	1	-0.36	-0.17	0.36	1	-753.13	0.30	-4.73	1	0.00	0.00	0.00	0	-808.11	-374.42	277.97	1	-808.72	-354.56	278.57	1	-880.07	-374.34	258.16	1	-880.26	-354.93	257.72	1
