CODAmotion Analysis Text
Codamotion Analysis Text Save of: Acquisition.1
Time	Markers																															
Time	Marker 1.X	Marker 1.Y	Marker 1.Z	1.V	Marker 2.X	Marker 2.Y	Marker 2.Z	2.V	Marker 3.X	Marker 3.Y	Marker 3.Z	3.V	Marker 4.X	Marker 4.Y	Marker 4.Z	4.V	Marker 5.X	Marker 5.Y	Marker 5.Z	5.V	Marker 6.X	Marker 6.Y	Marker 6.Z	6.V	Marker 7.X	Marker 7.Y	Marker 7.Z	7.V	Marker 8.X	Marker 8.Y	Marker 8.Z	8.V
(s)	(mm)	(mm)	(mm)		(mm)	(mm)	(mm)		(mm)	(mm)	(mm)		(mm)	(mm)	(mm)		(mm)	(mm)	(mm)		(mm)	(mm)	(mm)		(mm)	(mm)	(mm)		(mm)	(mm)	(mm)	
0.00000	10.74	-364.49	7.93	1	-0.21	0.10	0.84	1	-747.36	-0.18	0.96	1	0.00	0.00	0.00	0	-826.70	-338.85	315.55	1	-826.33	-319.62	315.15	1	-900.41	-337.05	309.57	1	-900.01	-317.52	310.24	1
0.00500	12.56	-364.42	1.60	1	-0.07	-0.03	0.15	1	-747.37	-0.06	1.20	1	0.00	0.00	0.00	0	-826.75	-338.75	316.00	1	-826.31	-319.59	315.59	1	-900.41	-336.98	309.91	1	-900.14	-317.74	309.39	1
0.01000	12.99	-364.72	-0.37	1	0.22	0.05	-0.74	1	-747.43	-0.35	1.28	1	0.00	0.00	0.00	0	-826.72	-338.96	315.00	1	-826.30	-319.53	315.16	1	-900.41	-336.98	309.50	1	-899.96	-317.56	310.09	1
0.01500	13.37	-364.95	-1.19	1	-0.07	0.03	0.08	1	-747.28	-0.21	-0.91	1	0.00	0.00	0.00	0	-826.61	-338.83	315.80	1	-826.34	-319.54	315.58	1	-900.51	-336.98	309.42	1	-900.02	-317.64	309.37	1
0.02000	12.81	-364.77	0.45	1	-0.15	0.11	0.25	1	-747.20	-0.18	0.58	1	0.00	0.00	0.00	0	-826.70	-338.93	315.39	1	-826.25	-319.74	314.68	1	-900.50	-337.07	309.32	1	-900.02	-317.53	309.64	1
0.02500	12.77	-364.63	0.91	1	-0.56	0.05	1.79	1	-747.48	-0.36	-0.51	1	0.00	0.00	0.00	0	-826.62	-338.90	315.49	1	-826.28	-319.67	315.16	1	-900.39	-337.10	309.42	1	-900.04	-317.57	309.61	1
0.03000	13.00	-364.62	0.00	1	0.10	-0.01	-0.75	1	-747.36	-0.26	0.28	1	0.00	0.00	0.00	0	-826.75	-339.03	314.53	1	-826.26	-319.70	315.29	1	-900.40	-337.06	309.82	1	-900.03	-317.59	309.60	1
0.03500	12.87	-364.80	-0.25	1	-0.11	0.06	0.71	1	-747.38	-0.09	-0.29	1	0.00	0.00	0.00	0	-826.61	-338.87	315.71	1	-826.30	-319.72	314.78	1	-900.51	-337.14	309.02	1	-900.05	-317.59	309.33	1
0.04000	12.79	-364.67	0.63	1	-0.22	0.03	0.74	1	-747.18	-0.27	-0.07	1	0.00	0.00	0.00	0	-826.63	-338.83	315.70	1	-826.25	-319.52	315.25	1	-900.46	-336.99	309.65	1	-900.00	-317.53	309.97	1
0.04500	12.81	-364.71	0.12	1	-0.22	-0.04	0.54	1	-747.24	-0.23	1.49	1	0.00	0.00	0.00	0	-826.78	-339.00	314.98	1	-826.27	-319.64	315.82	1	-900.46	-337.05	309.80	1	-900.00	-317.65	309.34	1
0.05000	12.89	-364.79	0.10	1	-0.30	0.07	1.03	1	-747.05	-0.14	0.37	1	0.00	0.00	0.00	0	-826.68	-338.98	315.01	1	-826.29	-319.54	315.52	1	-900.42	-337.01	309.41	1	-900.01	-317.54	309.58	1
0.05500	12.58	-364.54	1.01	1	0.22	-0.01	-0.84	1	-747.49	-0.35	1.30	1	0.00	0.00	0.00	0	-826.74	-338.99	315.38	1	-826.31	-319.61	315.83	1	-900.44	-337.09	309.05	1	-900.05	-317.56	309.92	1
0.06000	12.95	-364.74	-0.22	1	-0.16	0.04	0.90	1	-747.39	-0.18	0.78	1	0.00	0.00	0.00	0	-826.64	-338.91	315.37	1	-826.25	-319.74	315.22	1	-900.42	-337.00	309.34	1	-900.02	-317.56	309.31	1
0.06500	13.09	-364.80	-0.44	1	-0.00	0.07	-0.22	1	-747.37	-0.18	0.61	1	0.00	0.00	0.00	0	-826.68	-339.04	314.58	1	-826.24	-319.71	314.86	1	-900.63	-337.03	309.74	1	-899.91	-317.59	309.81	1
0.07000	12.89	-364.65	-0.04	1	-0.70	0.05	1.81	1	-747.54	-0.30	-0.28	1	0.00	0.00	0.00	0	-826.69	-339.05	314.75	1	-826.24	-319.63	315.75	1	-900.52	-337.12	309.15	1	-899.95	-317.60	309.35	1
0.07500	12.70	-364.67	0.70	1	-0.14	-0.01	0.67	1	-747.33	-0.26	-0.86	1	0.00	0.00	0.00	0	-826.67	-338.92	316.05	1	-826.28	-319.66	315.63	1	-900.57	-337.04	309.69	1	-899.97	-317.72	309.18	1
0.08000	12.84	-364.65	0.78	1	0.07	-0.09	-0.19	1	-747.51	-0.31	0.58	1	0.00	0.00	0.00	0	-826.69	-338.90	316.15	1	-826.16	-319.75	314.76	1	-900.47	-336.98	309.44	1	-899.96	-317.61	309.67	1
0.08500	13.04	-364.63	-0.29	1	-0.14	-0.05	0.43	1	-747.30	-0.12	-0.15	1	0.00	0.00	0.00	0	-826.72	-338.95	315.37	1	-826.33	-319.65	315.40	1	-900.43	-336.95	310.13	1	-899.91	-317.55	310.03	1
0.09000	12.93	-364.80	0.17	1	-0.01	0.03	0.26	1	-746.94	-0.32	-0.46	1	0.00	0.00	0.00	0	-826.66	-339.01	315.65	1	-826.26	-319.76	314.90	1	-900.61	-337.12	309.05	1	-899.90	-317.49	310.09	1
0.09500	12.80	-364.64	0.06	1	-0.22	0.08	0.54	1	-747.21	-0.29	-1.83	1	0.00	0.00	0.00	0	-826.64	-338.95	315.47	1	-826.24	-319.77	315.35	1	-900.29	-337.05	309.91	1	-900.02	-317.63	309.20	1
0.10000	12.78	-364.65	0.32	1	-0.21	0.04	0.65	1	-747.33	-0.33	0.14	1	0.00	0.00	0.00	0	-826.65	-339.09	315.28	1	-826.29	-319.77	315.77	1	-900.39	-337.01	309.75	1	-900.03	-317.57	309.57	1
0.10500	13.11	-364.89	-0.46	1	0.24	-0.06	-0.88	1	-747.29	-0.21	-0.41	1	0.00	0.00	0.00	0	-826.70	-338.87	316.09	1	-826.29	-319.69	315.68	1	-900.50	-337.19	308.81	1	-899.90	-317.61	309.61	1
0.11000	12.92	-364.79	-0.08	1	0.18	0.04	-0.66	1	-747.27	-0.28	0.32	1	0.00	0.00	0.00	0	-826.76	-339.06	314.85	1	-826.28	-319.80	314.92	1	-900.53	-337.02	309.66	1	-899.99	-317.53	310.15	1
0.11500	12.65	-364.57	0.80	1	-0.05	0.02	0.00	1	-747.25	-0.32	0.46	1	0.00	0.00	0.00	0	-826.64	-339.01	315.59	1	-826.29	-319.57	316.30	1	-900.40	-336.95	309.66	1	-900.03	-317.70	309.00	1
0.12000	12.64	-364.56	1.08	1	-0.01	0.01	0.43	1	-747.13	-0.23	-0.88	1	0.00	0.00	0.00	0	-826.65	-339.04	315.30	1	-826.27	-319.79	314.90	1	-900.52	-337.03	309.47	1	-899.96	-317.38	310.85	1
0.12500	13.06	-364.84	-0.76	1	-0.06	0.10	0.51	1	-747.48	-0.27	-0.15	1	0.00	0.00	0.00	0	-826.72	-339.00	315.19	1	-826.15	-319.52	316.16	1	-900.36	-337.05	309.69	1	-900.11	-317.65	309.54	1
0.13000	12.58	-364.57	0.54	1	-0.07	-0.06	0.39	1	-747.24	-0.33	1.88	1	0.00	0.00	0.00	0	-826.66	-339.05	315.52	1	-826.32	-319.61	315.34	1	-900.52	-337.02	309.78	1	-899.99	-317.53	310.09	1
0.13500	12.69	-364.65	0.90	1	-0.21	0.06	0.94	1	-746.94	-0.42	-0.33	1	0.00	0.00	0.00	0	-826.60	-339.03	315.17	1	-826.21	-319.59	315.73	1	-900.36	-336.99	309.90	1	-900.04	-317.51	309.83	1
0.14000	13.10	-364.81	-0.19	1	-0.12	0.08	0.77	1	-747.34	-0.27	0.21	1	0.00	0.00	0.00	0	-826.65	-338.90	315.51	1	-826.37	-319.58	316.16	1	-900.36	-337.07	309.47	1	-900.07	-317.69	308.82	1
0.14500	12.59	-364.58	1.43	1	0.19	0.04	-0.10	1	-746.81	-0.25	0.09	1	0.00	0.00	0.00	0	-826.65	-339.06	314.65	1	-826.20	-319.67	315.28	1	-900.43	-337.09	309.76	1	-900.07	-317.47	310.34	1
0.15000	13.00	-364.77	0.04	1	0.26	0.05	-0.61	1	-747.30	-0.33	-1.28	1	0.00	0.00	0.00	0	-826.62	-338.90	315.26	1	-826.26	-319.57	315.87	1	-900.57	-336.97	309.45	1	-900.08	-317.63	309.00	1
0.15500	12.59	-364.50	1.17	1	0.22	-0.08	-0.75	1	-747.01	-0.17	0.70	1	0.00	0.00	0.00	0	-826.61	-338.90	315.40	1	-826.37	-319.50	315.82	1	-900.45	-336.92	310.17	1	-899.97	-317.57	310.13	1
0.16000	12.61	-364.65	0.79	1	-0.10	0.01	0.84	1	-747.16	-0.20	0.68	1	0.00	0.00	0.00	0	-826.65	-338.91	315.37	1	-826.21	-319.42	316.04	1	-900.44	-337.14	309.37	1	-899.80	-317.44	310.07	1
0.16500	12.94	-364.66	0.34	1	0.05	0.03	0.10	1	-747.33	-0.27	-1.26	1	0.00	0.00	0.00	0	-826.54	-338.89	315.48	1	-826.29	-319.57	315.08	1	-900.34	-336.89	310.32	1	-900.07	-317.56	309.90	1
0.17000	12.97	-364.82	0.13	1	0.02	-0.04	-0.07	1	-747.56	-0.18	-0.14	1	0.00	0.00	0.00	0	-826.75	-338.77	315.69	1	-826.29	-319.47	315.57	1	-900.52	-337.03	309.37	1	-900.13	-317.59	309.57	1
0.17500	12.75	-364.65	1.12	1	-0.24	-0.04	0.30	1	-747.33	-0.22	-0.14	1	0.00	0.00	0.00	0	-826.65	-338.81	315.80	1	-826.23	-319.47	315.43	1	-900.38	-336.96	310.10	1	-899.92	-317.52	310.25	1
0.18000	12.79	-364.69	0.46	1	-0.28	0.12	0.84	1	-746.94	-0.32	-2.08	1	0.00	0.00	0.00	0	-826.62	-338.84	315.38	1	-826.24	-319.48	315.44	1	-900.40	-336.96	309.75	1	-899.97	-317.62	309.50	1
0.18500	12.90	-364.66	0.22	1	-0.37	0.15	0.82	1	-747.26	-0.25	0.58	1	0.00	0.00	0.00	0	-826.59	-338.75	315.67	1	-826.31	-319.54	315.10	1	-900.42	-337.06	309.68	1	-900.07	-317.60	309.50	1
0.19000	12.97	-364.72	-0.12	1	0.10	-0.00	-0.22	1	-747.13	-0.15	0.46	1	0.00	0.00	0.00	0	-826.65	-338.77	315.47	1	-826.32	-319.43	315.73	1	-900.28	-337.10	308.95	1	-900.02	-317.61	309.93	1
0.19500	12.85	-364.69	0.60	1	-0.19	0.05	0.11	1	-747.35	-0.28	0.94	1	0.00	0.00	0.00	0	-826.68	-338.80	315.20	1	-826.34	-319.49	315.30	1	-900.45	-336.96	310.03	1	-899.92	-317.55	309.93	1
0.20000	13.01	-364.72	0.05	1	-0.11	0.03	0.50	1	-747.39	-0.22	1.44	1	0.00	0.00	0.00	0	-826.73	-338.77	315.26	1	-826.22	-319.38	315.76	1	-900.39	-336.95	309.46	1	-899.91	-317.44	310.78	1
0.20500	12.84	-364.64	0.57	1	-0.22	0.14	1.39	1	-747.15	-0.37	-3.36	1	0.00	0.00	0.00	0	-826.63	-338.71	315.11	1	-826.39	-319.50	314.89	1	-900.47	-337.08	309.11	1	-900.08	-317.52	310.21	1
0.21000	12.92	-364.73	0.08	1	-0.25	0.06	0.75	1	-747.12	-0.51	-0.41	1	0.00	0.00	0.00	0	-826.68	-338.67	315.58	1	-826.33	-319.48	315.20	1	-900.41	-337.02	309.77	1	-900.15	-317.54	309.84	1
0.21500	12.62	-364.59	1.11	1	-0.06	0.07	0.21	1	-747.44	-0.25	2.08	1	0.00	0.00	0.00	0	-826.58	-338.58	315.68	1	-826.26	-319.36	315.83	1	-900.51	-336.96	309.79	1	-900.08	-317.61	309.08	1
0.22000	12.90	-364.67	0.14	1	0.05	0.00	0.33	1	-747.47	0.02	-0.33	1	0.00	0.00	0.00	0	-826.59	-338.72	315.43	1	-826.31	-319.36	315.52	1	-900.42	-337.02	309.69	1	-900.07	-317.56	309.86	1
0.22500	12.71	-364.66	0.46	1	-0.12	-0.01	0.51	1	-747.45	-0.27	-1.12	1	0.00	0.00	0.00	0	-826.64	-338.67	315.46	1	-826.39	-319.45	314.83	1	-900.32	-336.98	310.06	1	-899.87	-317.35	310.73	1
0.23000	12.80	-364.60	0.59	1	0.09	0.03	0.04	1	-747.08	-0.40	-0.72	1	0.00	0.00	0.00	0	-826.70	-338.63	315.57	1	-826.31	-319.45	315.17	1	-900.26	-336.97	309.92	1	-899.91	-317.56	310.08	1
0.23500	12.85	-364.73	0.21	1	-0.10	0.01	-0.06	1	-747.51	-0.18	-0.12	1	0.00	0.00	0.00	0	-826.64	-338.55	315.98	1	-826.47	-319.24	315.49	1	-900.36	-337.02	309.80	1	-900.08	-317.50	310.58	1
0.24000	13.09	-364.77	-0.32	1	-0.10	0.16	0.97	1	-747.32	-0.43	1.38	1	0.00	0.00	0.00	0	-826.70	-338.69	315.13	1	-826.16	-319.35	315.12	1	-900.36	-336.96	310.03	1	-900.19	-317.67	309.28	1
0.24500	12.97	-364.80	-0.36	1	-0.06	0.01	0.50	1	-747.39	-0.37	-0.07	1	0.00	0.00	0.00	0	-826.69	-338.69	315.24	1	-826.32	-319.37	315.30	1	-900.37	-336.99	309.91	1	-900.13	-317.58	309.52	1
0.25000	12.78	-364.73	0.06	1	-0.24	0.08	0.63	1	-747.32	-0.15	-0.16	1	0.00	0.00	0.00	0	-826.62	-338.59	315.84	1	-826.34	-319.26	315.65	1	-900.39	-336.98	310.35	1	-900.00	-317.69	309.61	1
0.25500	12.68	-364.43	0.98	1	0.29	-0.09	-0.66	1	-747.07	-0.40	1.33	1	0.00	0.00	0.00	0	-826.64	-338.52	315.54	1	-826.35	-319.29	315.62	1	-900.45	-336.96	309.57	1	-900.01	-317.73	309.02	1
0.26000	12.51	-364.62	1.34	1	-0.49	0.21	1.83	1	-747.29	-0.16	0.43	1	0.00	0.00	0.00	0	-826.62	-338.65	315.14	1	-826.25	-319.29	315.47	1	-900.42	-337.08	309.33	1	-900.08	-317.51	310.24	1
0.26500	12.91	-364.71	0.07	1	0.03	-0.04	0.10	1	-747.08	-0.26	1.83	1	0.00	0.00	0.00	0	-826.63	-338.65	315.32	1	-826.32	-319.31	315.01	1	-900.53	-337.04	309.82	1	-899.99	-317.47	309.98	1
0.27000	12.41	-364.51	1.20	1	-0.09	0.02	0.49	1	-747.25	-0.22	1.07	1	0.00	0.00	0.00	0	-826.65	-338.63	315.27	1	-826.26	-319.32	315.84	1	-900.23	-336.96	310.01	1	-899.76	-317.44	310.89	1
0.27500	13.01	-364.69	0.13	1	-0.39	0.04	0.62	1	-747.29	-0.36	-0.98	1	0.00	0.00	0.00	0	-826.60	-338.48	315.29	1	-826.14	-319.18	316.05	1	-900.30	-337.02	310.00	1	-900.06	-317.59	309.25	1
0.28000	12.76	-364.70	0.28	1	0.00	0.06	0.33	1	-747.14	-0.50	-0.98	1	0.00	0.00	0.00	0	-826.72	-338.56	315.31	1	-826.27	-319.11	316.01	1	-900.34	-337.13	309.01	1	-900.21	-317.50	310.19	1
0.28500	12.91	-364.75	0.06	1	0.01	0.05	-0.38	1	-747.33	-0.34	0.72	1	0.00	0.00	0.00	0	-826.70	-338.44	315.42	1	-826.38	-319.21	315.58	1	-900.45	-337.03	309.55	1	-900.10	-317.41	310.36	1
0.29000	12.72	-364.70	0.64	1	-0.10	-0.10	-0.21	1	-747.06	-0.23	0.01	1	0.00	0.00	0.00	0	-826.64	-338.44	315.31	1	-826.31	-319.27	315.21	1	-900.35	-337.12	309.35	1	-900.14	-317.49	310.13	1
0.29500	12.51	-364.52	1.37	1	0.09	-0.01	-0.10	1	-747.11	-0.25	0.57	1	0.00	0.00	0.00	0	-826.58	-338.49	315.63	1	-826.33	-319.14	315.84	1	-900.44	-337.00	309.57	1	-900.04	-317.59	309.69	1
0.30000	12.95	-364.71	0.03	1	-0.32	0.03	1.04	1	-747.29	-0.09	-0.00	1	0.00	0.00	0.00	0	-826.66	-338.38	316.13	1	-826.30	-319.24	315.26	1	-900.52	-337.05	309.52	1	-900.00	-317.63	309.49	1
0.30500	12.46	-364.51	1.04	1	-0.07	0.02	0.61	1	-747.33	-0.19	0.68	1	0.00	0.00	0.00	0	-826.51	-338.69	314.32	1	-826.35	-319.14	316.06	1	-900.34	-337.02	309.85	1	-900.03	-317.55	309.69	1
0.31000	12.78	-364.70	0.74	1	-0.25	-0.03	0.84	1	-747.09	-0.48	-0.08	1	0.00	0.00	0.00	0	-826.54	-338.36	315.96	1	-826.27	-319.20	315.06	1	-900.45	-336.97	309.58	1	-900.03	-317.55	310.51	1
