CODAmotion Analysis Text
Codamotion Analysis Text Save of: Acquisition.1
Time	Markers																															
Time	Marker 1.X	Marker 1.Y	Marker 1.Z	1.V	Marker 2.X	Marker 2.Y	Marker 2.Z	2.V	Marker 3.X	Marker 3.Y	Marker 3.Z	3.V	Marker 4.X	Marker 4.Y	Marker 4.Z	4.V	Marker 5.X	Marker 5.Y	Marker 5.Z	5.V	Marker 6.X	Marker 6.Y	Marker 6.Z	6.V	Marker 7.X	Marker 7.Y	Marker 7.Z	7.V	Marker 8.X	Marker 8.Y	Marker 8.Z	8.V
(s)	(mm)	(mm)	(mm)		(mm)	(mm)	(mm)		(mm)	(mm)	(mm)		(mm)	(mm)	(mm)		(mm)	(mm)	(mm)		(mm)	(mm)	(mm)		(mm)	(mm)	(mm)		(mm)	(mm)	(mm)	
0.00000	9.46	-365.42	0.31	1	0.22	0.71	-0.24	1	-729.09	-1.09	2.40	1	0.00	0.00	0.00	0	-829.01	-340.00	295.09	1	-829.81	-320.65	296.69	1	-900.37	-350.69	296.72	1	-903.02	-331.50	297.13	1
0.00500	11.00	-360.88	-0.43	1	-0.22	0.06	-0.06	1	-729.64	-0.80	2.09	1	0.00	0.00	0.00	0	-829.09	-340.06	295.20	1	-829.73	-321.08	296.91	1	-900.48	-350.80	296.86	1	-902.65	-331.73	297.31	1
0.01000	10.86	-360.97	-0.36	1	0.17	0.40	-0.04	1	-730.05	-0.47	1.77	1	0.00	0.00	0.00	0	-829.50	-340.06	294.88	1	-829.18	-321.47	297.25	1	-900.15	-351.04	297.07	1	-903.08	-331.95	297.29	1
0.01500	10.83	-361.32	-0.22	1	0.15	0.56	-0.30	1	-729.50	-0.74	2.08	1	0.00	0.00	0.00	0	-828.87	-340.14	295.31	1	-829.51	-320.66	296.99	1	-899.40	-350.91	297.22	1	-902.90	-331.75	297.17	1
0.02000	10.72	-361.18	-0.28	1	0.14	1.25	-0.72	1	-728.39	-1.42	2.87	1	0.00	0.00	0.00	0	-829.16	-340.30	295.47	1	-829.98	-321.02	296.97	1	-900.55	-350.67	296.92	1	-902.66	-331.95	297.49	1
0.02500	10.87	-361.16	-0.21	1	0.25	0.03	0.10	1	-730.04	-0.67	1.88	1	0.00	0.00	0.00	0	-829.10	-340.39	295.55	1	-829.96	-320.98	296.98	1	-900.58	-351.15	297.06	1	-903.30	-331.85	297.42	1
0.03000	10.84	-361.20	-0.27	1	0.18	0.49	-0.30	1	-729.09	-0.91	2.43	1	0.00	0.00	0.00	0	-828.97	-340.27	295.63	1	-829.49	-321.47	297.23	1	-899.82	-351.11	297.33	1	-903.03	-331.53	297.27	1
0.03500	10.68	-361.64	-0.06	1	0.23	0.53	-0.18	1	-729.65	-0.86	1.95	1	0.00	0.00	0.00	0	-829.06	-340.55	295.67	1	-830.40	-321.19	297.02	1	-900.62	-350.92	296.89	1	-902.82	-331.71	297.38	1
0.04000	10.90	-361.00	-0.41	1	0.32	1.06	-0.30	1	-729.82	-0.72	2.18	1	0.00	0.00	0.00	0	-829.02	-340.59	295.77	1	-829.48	-321.92	297.71	1	-900.22	-351.25	297.21	1	-902.89	-332.08	297.59	1
