CODAmotion Analysis Text
Codamotion Analysis Text Save of: Acquisition.1
Time	Markers																															
Time	Marker 1.X	Marker 1.Y	Marker 1.Z	1.V	Marker 2.X	Marker 2.Y	Marker 2.Z	2.V	Marker 3.X	Marker 3.Y	Marker 3.Z	3.V	Marker 4.X	Marker 4.Y	Marker 4.Z	4.V	Marker 5.X	Marker 5.Y	Marker 5.Z	5.V	Marker 6.X	Marker 6.Y	Marker 6.Z	6.V	Marker 7.X	Marker 7.Y	Marker 7.Z	7.V	Marker 8.X	Marker 8.Y	Marker 8.Z	8.V
(s)	(mm)	(mm)	(mm)		(mm)	(mm)	(mm)		(mm)	(mm)	(mm)		(mm)	(mm)	(mm)		(mm)	(mm)	(mm)		(mm)	(mm)	(mm)		(mm)	(mm)	(mm)		(mm)	(mm)	(mm)	
0.00000	9.60	-361.14	29.62	1	0.13	0.17	-0.28	1	-752.49	-0.10	1.45	1	0.00	0.00	0.00	0	-802.03	-356.50	260.29	1	-803.27	-337.10	261.40	1	-874.37	-359.66	244.70	1	-875.29	-340.45	246.95	1
0.00500	19.80	-365.11	0.11	1	0.93	0.05	-2.89	1	-752.01	0.11	-3.05	1	0.00	0.00	0.00	0	-802.04	-356.30	260.21	1	-803.46	-337.12	262.09	1	-874.32	-359.79	244.53	1	-875.37	-340.48	246.61	1
0.01000	19.80	-365.00	0.62	1	-1.25	0.26	3.12	1	-752.40	0.28	0.73	1	0.00	0.00	0.00	0	-802.01	-356.69	259.42	1	-803.10	-337.06	261.36	1	-874.13	-359.64	244.01	1	-875.50	-340.40	247.44	1
0.01500	20.60	-365.18	-1.59	1	0.10	0.18	-0.19	1	-752.19	0.35	0.20	1	0.00	0.00	0.00	0	-802.00	-356.57	259.89	1	-803.28	-337.01	261.52	1	-874.00	-359.95	243.13	1	-875.52	-340.49	247.42	1
0.02000	20.96	-365.24	-2.25	1	0.33	0.16	-0.69	1	-752.44	0.13	1.03	1	0.00	0.00	0.00	0	-802.10	-356.44	260.11	1	-803.10	-337.11	261.76	1	-874.28	-359.73	245.07	1	-875.44	-340.72	246.71	1
0.02500	19.89	-365.05	0.63	1	0.07	0.01	0.55	1	-752.42	-0.22	-0.00	1	0.00	0.00	0.00	0	-801.70	-356.52	258.74	1	-803.32	-337.11	261.98	1	-874.28	-359.64	246.08	1	-875.35	-340.44	246.66	1
0.03000	19.78	-365.01	0.87	1	0.19	0.09	-0.60	1	-752.65	0.09	2.38	1	0.00	0.00	0.00	0	-802.02	-356.32	260.53	1	-803.22	-337.08	261.59	1	-874.17	-359.92	243.24	1	-875.56	-340.52	246.66	1
0.03500	19.37	-364.98	1.40	1	0.18	0.08	-0.10	1	-752.10	0.40	1.73	1	0.00	0.00	0.00	0	-801.86	-356.57	259.33	1	-803.03	-337.13	260.60	1	-874.18	-359.72	244.68	1	-875.53	-340.34	248.30	1
0.04000	20.31	-365.31	-0.48	1	0.91	0.05	-1.77	1	-752.19	-0.09	0.17	1	0.00	0.00	0.00	0	-801.84	-356.60	259.58	1	-802.98	-337.10	260.93	1	-874.17	-359.55	244.97	1	-875.50	-340.37	247.72	1
0.04500	20.90	-365.27	-1.84	1	-0.44	0.12	1.20	1	-752.88	-0.19	-1.23	1	0.00	0.00	0.00	0	-802.02	-356.57	259.67	1	-803.54	-336.83	263.57	1	-874.26	-359.63	245.43	1	-875.48	-340.33	247.66	1
0.05000	20.83	-365.30	-1.53	1	0.34	0.03	-1.82	1	-752.47	-0.12	0.69	1	0.00	0.00	0.00	0	-801.80	-356.59	259.05	1	-803.30	-336.98	261.70	1	-874.35	-359.70	245.59	1	-875.42	-340.34	248.17	1
0.05500	20.32	-365.04	-0.96	1	0.45	0.06	-1.19	1	-751.72	-0.03	-3.52	1	0.00	0.00	0.00	0	-801.83	-356.54	258.42	1	-803.24	-336.95	261.15	1	-874.16	-359.80	245.25	1	-875.49	-340.46	247.91	1
0.06000	20.15	-365.23	-0.51	1	0.25	0.01	-0.21	1	-752.79	0.29	2.16	1	0.00	0.00	0.00	0	-802.01	-356.38	260.35	1	-803.17	-336.96	261.91	1	-874.26	-359.57	245.29	1	-875.61	-340.32	249.21	1
0.06500	20.27	-365.07	0.34	1	-0.28	0.16	0.71	1	-752.35	-0.14	1.42	1	0.00	0.00	0.00	0	-802.06	-356.34	260.16	1	-803.50	-336.90	262.34	1	-874.34	-359.64	245.32	1	-875.39	-340.41	248.56	1
0.07000	20.83	-365.50	-2.36	1	0.54	0.20	-0.60	1	-752.08	0.10	0.24	1	0.00	0.00	0.00	0	-801.88	-356.48	260.18	1	-803.51	-336.88	262.58	1	-874.27	-359.48	244.92	1	-875.35	-340.55	246.30	1
0.07500	19.80	-364.99	0.86	1	0.04	0.02	-0.26	1	-753.10	-0.21	3.48	1	0.00	0.00	0.00	0	-801.60	-356.58	258.76	1	-803.10	-336.96	261.79	1	-874.08	-359.90	244.91	1	-875.65	-340.41	249.01	1
0.08000	20.03	-365.04	0.87	1	0.28	0.19	-0.63	1	-752.80	-0.03	3.83	1	0.00	0.00	0.00	0	-802.12	-356.14	260.18	1	-803.37	-336.87	262.49	1	-874.09	-359.77	243.54	1	-875.33	-340.45	246.82	1
