CODAmotion Analysis Text
Codamotion Analysis Text Save of: Acquisition.1
Time	Markers																															
Time	Marker 1.X	Marker 1.Y	Marker 1.Z	1.V	Marker 2.X	Marker 2.Y	Marker 2.Z	2.V	Marker 3.X	Marker 3.Y	Marker 3.Z	3.V	Marker 4.X	Marker 4.Y	Marker 4.Z	4.V	Marker 5.X	Marker 5.Y	Marker 5.Z	5.V	Marker 6.X	Marker 6.Y	Marker 6.Z	6.V	Marker 7.X	Marker 7.Y	Marker 7.Z	7.V	Marker 8.X	Marker 8.Y	Marker 8.Z	8.V
(s)	(mm)	(mm)	(mm)		(mm)	(mm)	(mm)		(mm)	(mm)	(mm)		(mm)	(mm)	(mm)		(mm)	(mm)	(mm)		(mm)	(mm)	(mm)		(mm)	(mm)	(mm)		(mm)	(mm)	(mm)	
0.00000	10.32	-364.14	9.32	1	-0.16	0.11	0.74	1	-746.91	-0.33	2.89	1	0.00	0.00	0.00	0	-831.63	-363.80	337.16	1	-830.98	-344.32	338.71	1	-904.94	-361.04	336.74	1	-903.96	-341.94	337.25	1
0.00500	12.26	-364.38	0.37	1	-0.28	0.12	0.62	1	-747.09	-0.14	4.79	1	0.00	0.00	0.00	0	-831.58	-363.63	337.49	1	-831.02	-344.32	338.61	1	-904.92	-361.08	336.56	1	-904.13	-341.86	336.96	1
0.01000	12.23	-364.37	0.35	1	-0.33	0.14	0.50	1	-746.80	-0.15	1.81	1	0.00	0.00	0.00	0	-831.62	-363.48	337.89	1	-830.98	-344.26	338.31	1	-904.96	-361.18	336.28	1	-903.96	-341.77	337.54	1
0.01500	12.65	-364.58	-0.89	1	-0.56	0.28	1.73	1	-746.66	0.15	4.88	1	0.00	0.00	0.00	0	-831.42	-363.77	337.18	1	-830.96	-344.04	339.06	1	-904.81	-361.13	335.97	1	-904.03	-341.80	337.02	1
0.02000	12.69	-364.59	-1.05	1	0.07	0.06	-0.54	1	-747.01	-0.02	4.48	1	0.00	0.00	0.00	0	-831.54	-363.77	336.83	1	-830.95	-344.48	337.93	1	-904.85	-360.99	337.20	1	-903.79	-341.72	337.84	1
0.02500	12.52	-364.43	-0.19	1	-0.59	0.31	1.80	1	-746.95	-0.05	4.30	1	0.00	0.00	0.00	0	-831.73	-363.43	338.30	1	-830.89	-344.32	338.23	1	-904.97	-361.25	335.33	1	-903.93	-341.96	336.64	1
0.03000	12.41	-364.46	-0.38	1	-0.47	0.15	1.68	1	-746.85	-0.14	3.66	1	0.00	0.00	0.00	0	-831.56	-363.57	337.65	1	-830.91	-344.22	338.61	1	-904.75	-360.92	337.20	1	-904.08	-341.90	336.85	1
0.03500	12.55	-364.56	-0.60	1	-0.15	0.31	1.15	1	-747.19	-0.18	3.42	1	0.00	0.00	0.00	0	-831.70	-363.53	338.18	1	-830.85	-344.12	339.51	1	-904.89	-361.10	335.99	1	-903.96	-341.73	337.77	1
0.04000	12.10	-364.19	1.40	1	-0.19	0.34	0.19	1	-746.99	-0.01	4.52	1	0.00	0.00	0.00	0	-831.70	-363.79	336.61	1	-830.83	-344.29	338.85	1	-904.90	-361.08	336.01	1	-903.76	-341.58	337.92	1
